player_id,nome,username,idade,data_nascimento,genero,cidade,estado,pais,plataforma,genero_jogo,nivel_jogador,data_criacao_conta,horas_jogadas,numero_sessoes,quantidade_compras,valor_gasto,ultimo_acesso
1,Jacqueline Rey,jacqueline.rey1,21,2005-02-22,Feminino,Saint-Etienne-de-Tulmont,OCC,França,PlayStation,Corrida,14,2022-08-25,337.6,425,0,0,2026-08-24
2,Henri Blin,henri.blin2,16,2009-09-02,Masculino,Miélan,OCC,França,PC,Estratégia,13,2023-06-16,310.8,193,0,0,2026-07-19
3,Adele Raimondi,adele.raimondi3,36,1989-09-05,Feminino,Chialamberto,Piedmont,Itália,PlayStation,Aventura,1,2026-03-23,7.9,5,1,4.99,2026-04-06
4,Elisa Casarin,elisa.casarin4,44,1982-03-19,Feminino,Montecalvo Irpino,72,Itália,PC,Aventura,2,2016-03-23,27.8,28,1,19.9,2026-04-01
5,David Benton,david.benton5,45,1981-04-25,Masculino,Marbleton,WY,Estados Unidos,Xbox,Ação,21,2010-09-03,513.7,276,0,0,2026-02-24
6,Graziella Modigliani,graziella.modigliani6,53,1973-04-19,Feminino,Bordano,36,Itália,Xbox,Survival,90,2014-12-18,2231.0,578,0,0,2026-02-19
7,Gabriela Rezende,gabriela.rezende7,24,2001-09-29,Feminino,Cerro Largo,RS,Brasil,PC,Luta,7,2019-06-03,169.6,198,13,398.88,2025-09-13
8,Shannon Montgomery,shannon.montgomery8,35,1990-12-24,Feminino,Monroe North,WA,Estados Unidos,Xbox,Simulação,26,2024-03-01,647.2,573,18,748.29,2026-03-11
9,Fabio Palombi,fabio.palombi9,29,1996-11-05,Masculino,Zerbolò,Lombardy,Itália,PlayStation,Survival,43,2012-05-28,1071.7,424,0,0,2025-12-26
10,Anton Preiß,anton.prei10,22,2004-08-17,Masculino,Dillenburg,Hesse,Alemanha,PlayStation,FPS,3,2020-12-01,74.1,176,0,0,2025-09-15
11,Daniel Lozano,daniel.lozano11,35,1991-03-06,Masculino,Wright-Patterson AFB,OH,Estados Unidos,PlayStation,Simulação,52,2011-01-15,1288.5,1157,9,264.19,2025-10-02
12,Anthony Mullen,anthony.mullen12,48,1978-05-21,Masculino,Three Hills,AB,Canadá,Xbox,Ação,13,2020-05-20,302.6,152,0,0,2026-02-26
13,Charlotte Atkins,charlotte.atkins13,43,1983-07-12,Feminino,Rowlands Gill,ENG,Reino Unido,Xbox,Ação,59,2015-01-20,1461.8,1054,0,0,2025-11-03
14,Diogo Marques,diogo.marques14,49,1977-07-13,Masculino,Pedras de Fogo,PB,Brasil,Xbox,Corrida,39,2012-05-07,958.9,782,0,0,2025-12-23
15,Mauro Arreola,mauro.arreola15,35,1991-08-12,Masculino,San Isidro Monjas,OAX,México,PC,RPG,1,2023-04-08,16.3,5,1,29.9,2025-09-02
16,Kristi Miller,kristi.miller16,26,2000-02-06,Feminino,Maidstone,VIC,Austrália,PC,Esportes,17,2015-01-14,421.7,889,23,768.15,2025-09-20
17,Calvin Trujillo,calvin.trujillo17,54,1972-07-03,Masculino,East Bridgewater,MA,Estados Unidos,PC,Simulação,15,2025-11-07,374.8,104,0,0,2026-05-26
18,Debra Gutierrez,debra.gutierrez18,55,1971-03-22,Feminino,Harlem,GA,Estados Unidos,PlayStation,Esportes,91,2017-09-05,2265.0,1487,18,688.38,2025-10-18
19,Pía Conesa,pia.conesa19,18,2007-12-04,Feminino,Olite-Erriberri,Navarre,Espanha,PlayStation,Esportes,27,2021-07-16,668.2,375,0,0,2025-12-16
20,Rebecca Ross,rebecca.ross20,50,1976-01-09,Feminino,Lawrence,KS,Estados Unidos,PlayStation,FPS,2,2025-11-18,39.6,56,0,0,2026-06-17
21,Albert Johnson,albert.johnson21,27,1998-10-08,Masculino,Akron,IA,Estados Unidos,PlayStation,Esportes,23,2017-02-02,568.4,1080,10,214.36,2026-04-09
22,Vanessa Cipolla,vanessa.cipolla22,50,1976-02-09,Feminino,San Vittore Olona,Lombardy,Itália,Xbox,RPG,6,2011-10-05,125.4,73,0,0,2025-12-30
23,Baldomero Naranjo,baldomero.naranjo23,16,2010-02-07,Masculino,La Pineda,Catalonia,Espanha,Xbox,Ação,1,2026-04-10,2.6,2,1,59.9,2026-04-24
24,João Guilherme Fogaça,joao.guilherme.fogaca24,39,1987-08-10,Masculino,Upanema,RN,Brasil,Xbox,RPG,1,2013-01-05,12.5,12,0,0,2026-06-19
25,Éléonore Laurent,eleonore.laurent25,54,1971-09-15,Feminino,Berson,New Aquitaine,França,Xbox,Aventura,9,2012-01-03,222.4,214,9,149.46,2026-04-08
26,Daniel Heredia,daniel.heredia26,23,2002-09-23,Masculino,Santa Clara Huitziltepec,PUE,México,PC,Estratégia,8,2023-04-13,183.7,84,2,24.8,2026-05-30
27,Gabriel Salmon,gabriel.salmon27,29,1996-09-09,Masculino,Saint-Amand-Longpré,CVL,França,PC,Corrida,38,2022-09-26,937.5,529,0,0,2025-11-24
28,Joseph Bertin,joseph.bertin28,37,1988-11-28,Masculino,Clères,Normandy,França,Xbox,RPG,16,2020-11-28,382.5,247,0,0,2025-11-01
29,Maura Ariosto,maura.ariosto29,35,1991-05-13,Feminino,Tramatza,Sardinia,Itália,PC,RPG,9,2022-07-27,222.5,60,0,0,2026-07-26
30,Leone Odescalchi,leone.odescalchi30,29,1997-07-12,Masculino,Villanova,36,Itália,Xbox,Simulação,39,2023-05-23,965.8,250,0,0,2026-08-30
31,Rosario Bernardi,rosario.bernardi31,44,1981-11-21,Masculino,Palma Campania,72,Itália,PlayStation,Survival,1,2025-06-22,7.8,3,1,9.9,2026-01-16
32,Ettore Mimun,ettore.mimun32,40,1986-08-17,Masculino,Radda in Chianti,Tuscany,Itália,PlayStation,Esportes,48,2014-03-18,1179.9,2464,19,513.37,2026-06-18
33,Kevin Lopez,kevin.lopez33,35,1991-03-27,Masculino,Edgerton,KS,Estados Unidos,PC,Aventura,15,2022-03-22,365.9,192,17,738.48,2026-06-28
34,Édouard Marty,edouard.marty34,27,1998-10-23,Masculino,Lussac-les-Châteaux,New Aquitaine,França,PlayStation,RPG,22,2014-06-19,542.8,277,0,0,2025-10-28
35,Duncan Clark,duncan.clark35,33,1993-06-18,Masculino,Bakewell,ENG,Reino Unido,PC,Esportes,14,2011-10-18,325.7,233,21,608.26,2025-11-17
36,Justin Dominguez,justin.dominguez36,22,2003-10-24,Masculino,East Fremantle,WA,Austrália,PlayStation,Luta,12,2024-11-02,276.7,228,0,0,2025-10-23
37,Raffaello Nonis,raffaello.nonis37,45,1981-07-26,Masculino,Pomigliano d'Arco,72,Itália,PC,Estratégia,2,2026-05-21,27.1,13,1,79.9,2026-05-24
38,Geronimo Sordi,geronimo.sordi38,54,1972-04-21,Masculino,Coazzolo,Piedmont,Itália,Xbox,FPS,25,2012-11-14,603.4,960,0,0,2026-03-07
39,Enzo Gabriel Monteiro,enzo.gabriel.monteiro39,31,1995-08-29,Masculino,Bauru,SP,Brasil,PC,Simulação,35,2014-10-14,863.5,679,5,184.59,2026-01-31
40,Abdul Carr,abdul.carr40,45,1981-07-02,Masculino,Haverigg,ENG,Reino Unido,PC,Survival,2,2013-03-31,36.9,32,0,0,2026-01-30
41,Ehrentraud Beier,ehrentraud.beier41,16,2010-04-17,Feminino,Staad,BW,Alemanha,PC,Estratégia,6,2025-10-12,146.4,51,4,239.6,2026-02-19
42,Clémence Fournier,clemence.fournier42,51,1974-12-03,Feminino,Chanu,Normandy,França,Xbox,Corrida,25,2024-09-04,602.9,394,0,0,2026-07-26
43,Jeanne Lamy,jeanne.lamy43,45,1981-01-21,Feminino,Chalais,New Aquitaine,França,PlayStation,Luta,1,2020-02-25,21.4,43,0,0,2026-02-27
44,Lidwina Eberth,lidwina.eberth44,40,1986-01-31,Feminino,Münzenberg,Hesse,Alemanha,Xbox,RPG,100,2011-02-28,4129.5,1231,16,508.58,2026-02-20
45,Annalisa Gianvecchio,annalisa.gianvecchio45,45,1981-01-26,Feminino,Scampitella,72,Itália,Xbox,Aventura,13,2018-05-14,318.2,177,8,239.47,2025-11-15
46,Ricciotti Boccioni,ricciotti.boccioni46,24,2002-01-13,Masculino,Massignano,The Marches,Itália,Xbox,Ação,66,2021-03-13,1649.8,776,0,0,2026-07-31
47,Xavier Vallet,xavier.vallet47,37,1988-10-02,Masculino,Bois-le-Roi,IDF,França,PlayStation,Luta,21,2013-10-22,506.3,1294,29,852.46,2025-09-19
48,Dulce Ulloa,dulce.ulloa48,40,1986-05-16,Feminino,Colonia Lázaro Cárdenas (Los Hornos),MEX,México,Xbox,FPS,62,2013-05-02,1531.6,1141,18,528.38,2026-07-04
49,Domenico Bruno,domenico.bruno49,31,1995-02-06,Masculino,Poggio Nativo,62,Itália,PC,Ação,2,2023-09-01,27.8,17,0,0,2025-09-15
50,Jacopo Pometta,jacopo.pometta50,53,1973-08-09,Masculino,Arignano,Piedmont,Itália,PC,Estratégia,51,2010-06-08,1272.2,846,0,0,2026-03-02
51,Octavio Munguía,octavio.munguia51,25,2000-10-24,Masculino,Privada del Álamo,HID,México,PlayStation,RPG,47,2020-03-02,1159.1,479,5,204.5,2026-06-21
52,Antonello Almagià,antonello.almagia52,31,1994-09-20,Masculino,Sannazzaro de' Burgondi,Lombardy,Itália,PC,RPG,26,2013-07-08,649.3,538,14,398.69,2025-12-31
53,Maureen Wilcox,maureen.wilcox53,18,2008-03-25,Feminino,Wellsboro,PA,Estados Unidos,PC,Estratégia,10,2022-12-04,245.2,233,7,369.3,2026-05-13
